kepsek,operator,akreditasi,kurikulum,waktu,nama_sekolah,sekolah_id,npsn,status,bentuk_pendidikan,status_kepemilikan,sk_pendirian_sekolah,tanggal_sk_pendirian,sk_izin_operasional,tanggal_sk_izin_operasional,kebutuhan_khusus,nama_bank,kcp,nama_di_rek,status_bos,waku_penyelenggaraan,sertifikasi_iso,sumber_listrik,daya_listri,akses_internet,alamat,dusun,desa_kelurahan,kecamatan,kabupaten,provinsi,kode_pos,lintang,bujur,rt,rw
Dewi Sri,M. HASEMI RAFSANJANI,C,Kurikulum 2013,-,TK NEGERI PULAU PARI 01,87B50624DCF8423E8396,69768535,Negeri,TK,Pemerintah Daerah,1053 tahun 2018,2018-07-09,1053 tahun 2018,2018-07-09,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768535 TK NEGERI PULAU PARI 01 BOPP,Bersedia Menerima,-,Belum Bersertifikat,-,413840,2 Mb,PENDIDIKAN RT. 002/04 PULAU PARI,PULAU PARI,Pulau Pari,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,0,0,2,4
PLT - Yeyet Suprapti,IMAM WARDANI,B,Kurikulum 2013,-,SPS NEGERI BALE BERMAIN SAHABAT ANAK,F9068564B8F2E1D56346,69990088,Negeri,SPS,Pemerintah Daerah,1577 Tahun 2019,2019-10-31,1577 Tahun 2019,2019-10-31,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69990088 SPS NEGERI BB SA BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,3300,30 Mb,Jl. Pluit Raya No.5 RT.21/RW.08 (Kantor Kecamatan Penjaringan),Penjaringan,Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14440,-6,106,21,8
PLT - Kaswiyah,Mohamad Robbiandi Alamsyah,B,Kurikulum 2013,-,TK NEGERI PULAU TIDUNG 01,EE848173DE0E4B147643,69768531,Negeri,TK,Pemerintah Daerah,1053 tahun 2018,2018-07-09,1053 tahun 2018,2018-07-09,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768531 TK NEGERI PULAU TIDUNG 01 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,2200,3 Mb,JL. KAMPUNG BARU RT. 001/01,Pulau Tidung,Pulau Tidung,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,-5,106,1,1
Nurbaiti,PAUD BAWAL BAHARI,C,Kurikulum 2013,Pagi,PAUD BAWAL BAHARI,BD7F1B3D187D0EFE04A2,69857234,Swasta,SPS,Lainnya,3860/PNFI-SPS/JU/IX/2013,2013-09-24,3860/PNFI-SPS/JU/IX/2013,2013-09-24,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857234 PAUD BAWAL BAHARI BOPP,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,Tidak Ada,JL. KAMAL MUARA RT 001 RW 001,Kamal Muara,Kamal Muara,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14470,0,0,2,1
YUSLI MASHUDI,MUNJIRIN,B,Kurikulum 2013,-,TK NEGERI PULAU TIDUNG 02,039CA5F97782AEFE514C,69768532,Negeri,TK,Pemerintah Daerah,1053 tahun 2018,2018-07-09,1053 tahun 2018,2018-07-09,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768532 TK NEGERI PULAU TIDUNG 02 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,1300,5 Mb,Jl. Lapangan Hijau RT. 005/03 Pulau Tidung,PULAU TIDUNG,Pulau Tidung,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,-5,106,5,3
PLT - Setyowati Susilo,Setyowati Susilo,,Kurikulum 2013,-,PAUD TERATAI,428F348018F13D0FE068,69880119,Swasta,SPS,Yayasan,3893/PNFI-SPS/JU/IX/2013,2013-09-26,3893/PNFI-SPS/JU/IX/2013,2013-09-26,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69880119 PAUD TERATAI BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,0,Tidak Ada,JL. KAPUK MUARA RT 005 RW 001,-,Kapuk Muara,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14460,-5,114,5,1
MAHMUDAH,ABDUL RAUF,B,Kurikulum 2013,-,TK NEGERI PULAU TIDUNG 03,35EDD7B7EF2777B2B4C7,69768533,Negeri,TK,Pemerintah Daerah,1053 tahun 2018,2018-07-09,1053 tahun 2018,2018-07-09,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768533 TK NEGERI PULAU TIDUNG 03 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,2200,Lainnya (Serat Optik),Jl. Pendidikan Rt. 007/02,Pulau Tidung,Pulau Tidung,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,-5,106,7,2
Eka Susiyanti,Salma Rusdiyanti,C,Kurikulum 2013,-,BKB PAUD BAWAL,9364D104827A5C1225BD,69910765,Swasta,SPS,Lainnya,152 Tahun 2014,2014-04-28,3668/PNFI-SPS/JU/XI/2014,2014-11-26,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69910765 BKB PAUD BAWAL BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,1300,300 Mb,Jl. Kalibaru Barat IV Rt.011 Rw.007,Kalibaru,Kali Baru,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14110,0,0,11,7
Siti Wahyuningsih,TK DAARUL MUTTAQIEN,C,Kurikulum 2013,-,TK Daarul Muttaqien,6EA6FE4A2521FA944405,69790684,Swasta,TK,Yayasan,20/2007,2006-04-25,001/YAM/IV/07,2006-04-25,Tidak ada,BPD DKI,KL Dinas Pendidikan,69790684 TK Daarul Muttaqien BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,10000,3 Mb,Duri Utara I,,Duri Utara,Kec. Tambora,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11270,-6,106,5,7
MUKHLIS,Dede Azhari,B,Kurikulum 2013,-,TK NEGERI PULAU UNTUNG JAWA 01,7607BDD34B4CD3A6A0F2,69768536,Negeri,TK,Pemerintah Daerah,1053 tahun 2018,2018-07-09,1053 tahun 2018,2018-07-09,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768536 TK NEGRI PULAU UNTNG JW 01 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,2200,30 Mb,JL. PULAU NIRWANA RT. 002/03,,Pulau Untung Jawa,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14510,-5,114,2,3
HASAN AZHARY,BKB PAUD AL HIDAYAH,,Kurikulum 2013,-,BKB PAUD AL HIDAYAH,40F8B853444E765783D1,69971893,Swasta,SPS,Yayasan,016/1.14.1/31.72.001/1.851.192/2006,2016-11-02,016/1.14.1/31.72.001/1.851.192/2006,2016-11-02,"B,H,J",BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69971893 BKB PAUD AL HIDAYAH BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,1200,300 Mb,Jl. Rusun Waduk Pluit Blok 9 Lantai Dasar RT.23/17,penjaringan,Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14440,0,0,23,17
Murtini,MURTINI,,Kurikulum 2013,-,BKB PAUD BERSINAR RW 10,01958D2320CA4C67208F,69978903,Swasta,SPS,Lainnya,12,2018-01-10,001/A.6/31.72.04.1005/-1.851.192/2018,2018-05-11,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69978903 BKB PAUD BERSINAR RW 10 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,450,Tidak Ada,Jl. Cakung Cilincing Kampung Semper Pos 5 Rt.001 Rw.010,,Semper Timur,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,,0,0,,
Rahmawati,Devi Rahmawati Putri,,Kurikulum 2013,-,TK Dewi Sartika,C4655D0B9E8D80BF1351,69832204,Swasta,TK,Yayasan,1,1994-07-01,143/2008,2008-10-17,Tidak ada,BPD DKI,KL Dinas Pendidikan,69832204 TK Dewi Sartika BOPP,Bersedia Menerima,-,Proses Sertifikasi,PLN,1300,40 Mb,Tambora III/7 Rt 03/05 No.6,Tambora,Tambora,Kec. Tambora,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11220,-5,114,3,5
"Abdul Syukur, S.Pd","Sunarti, S.PdI",B,Kurikulum 2013,-,TK TELADAN ASSYUKRU,2BE815F7E6285A175E5B,69768534,Swasta,TK,Yayasan,008/YPAS/IV/2008,2008-05-05,01/1851.92,2016-05-19,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768534 TK TELADAN ASSYUKRU BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,1200,30 Mb,PULAU LANCANG,Pulau Lancang Besar,Pulau Pari,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,-5,106,2,2
Umi Kulsum,Lintang,,Kurikulum 2013,-,BKB PAUD ANGGREK 01,74EAE7ACC90B54825D95,69857239,Swasta,SPS,Lainnya,2/A.6/31.72.01.1004/-1.851.192/2017,2017-12-07,2/A.6/31.72.01.1004/-1.851.192/2017,2017-12-07,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857239 BKB PAUD ANGGREK 01 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,0,Tidak Ada,JL. JEMB. GAMBANG II RT.12/RW.01,,Pejagalan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14450,0,0,12,1
Siti Maryam,SITI MARYAM,B,Kurikulum 2013,-,BKB PAUD BOUGENVILLE 011,0C048714517786618532,69857314,Swasta,SPS,Lainnya,,,1960/SPS-97/JU/2011,,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857314 BKB PAUD BOUGENVILLE 011 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,2198,Tidak Ada,Jl. Malaka Jaya Rt.004 Rw.011,Malaka,ROROTAN,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14140,-6,106,4,11
Rinny Rachmatuty,Rinny Rachmatuty,A,Kurikulum 2013,Sehari penuh (5 h/m),TK Dhammasavana,55246013AFFADAA85145,69856828,Swasta,TK,Yayasan,137,2009-01-19,384-5/1851332,2011-03-25,Tidak ada,BPD DKI,KL Dinas Pendidikan,69856828 TK Dhammasavana BOPP,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,16500,Tidak Ada,Jl. Padamulya VI No. 176-B,,Angke,Kec. Tambora,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11330,-6,106,3,9
PLT - Rusmanto,Rosita,B,Kurikulum 2013,Sehari penuh (5 h/m),SPS NEGERI BALE BERMAIN BUNGA MAWAR,EA6841D5E78D9E18EA4C,69768540,Negeri,SPS,Yayasan,740 TAHUN 2020,2020-07-17,819.6/SPS-08/KAB/IX/2011,2011-07-11,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768540 SPS NEGERI BL BRMN BNG MWR BOPP,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN & Diesel,499,Tidak Ada,PULAU UNTUNG JAWA,pulau untung jawa,Pulau Untung Jawa,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14510,0,0,3,3
SALBIYAH,BKB PAUD ANGGREK Kosong Delapan,,Kurikulum 2013,Pagi,BKB PAUD ANGGREK 08,D2C4B19B1950F937335F,69857243,Swasta,SPS,Yayasan,2446/PNFI-SPS/JU/VI/2013,2013-06-13,2446/PNFI-SPS/JU/VI/2013,2013-06-13,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857243 BKB PAUD ANGGREK 08 BOPP,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,2200,Tidak Ada,Jl. Pluit Dalam RT.13/RW.08,PLUIT DALAM,Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14440,0,0,13,8
Yulianti Sri Sugirahayu,YULIANTI SRI SUGIRAHAYU,,Kurikulum 2013,-,BKB PAUD BOUGENVILLE RW 02,A27C1E34490C343A4BEE,69857312,Swasta,SPS,Yayasan,,1900-01-01,3065/PNFI-SPS/JU/X/2014,2014-10-23,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857312 BKB PAUD BOUGENVILLE RW 02 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,1300,1 Gb,Green Garden Blok B Rw.002,ROROTAN,Rorotan,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14140,0,0,9,2
Jesaya Bunardi,andy solaiman,,Kurikulum 2013,-,TK Eloi,08F6E5DE078F43A791F9,69856826,Swasta,TK,Yayasan,4065 - 5/1.851.331,2014-07-01,4065 - 5/1.851.331,2014-07-01,Tidak ada,BPD DKI,KL Dinas Pendidikan,69856826 TK Eloi BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,2200,20 Mb,Tanah Sereal XVIII No.17A Rt.003/09,Tanah Sereal,Tanah Sereal,Kec. Tambora,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11210,-6,106,3,9
Deni Liana,Dwi Cahyo Afrianto,,Kurikulum 2013,Pagi,BKB PAUD ANGGREK 10 PENJARINGAN,374278DCCEC706546698,69973346,Swasta,SPS,Lainnya,001/A.6.0/31.72.01.1001/-1.851.192/2018,2018-01-29,001/A.6.0/31.72.01.1001/-1.851.192/2018,2018-01-29,Tidak ada,nama_bank,cabang,rek_atas_nama,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,2200,20 Mb,Jl. Sukarela Dalam No.3 RT.004/RW.10,,Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14440,0,0,4,10
"PLT - Haerudin, S.pd",SPS Negeri Bale Bermain Nusa Indah,B,Kurikulum 2013,-,SPS NEGERI BALE BERMAIN NUSA INDAH,594627B8E6C564851FBD,69768546,Negeri,SPS,Pemerintah Daerah,740 TAHUN 2020,2020-07-17,1037/SPS-08/KAB/IX/2010,2010-07-19,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768546 SPS NEGRI BL BRMN NS INDH BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,2200,Tidak Ada,PULAU UNTUNG JAWA,pulau untung jawa,Pulau Untung Jawa,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14510,-5,106,1,2
,,,,-,TK Gamaliel,389D0A6C32B446B50FFF,69790681,Swasta,TK,Yayasan,,,02-10/GS 111/2010,,Tidak ada,BPD DKI,KL Dinas Pendidikan,69790681 TK Gamaliel BOPP,-,-,-,-,,,Jl. Jembatan Besi II/45 Rt.005/01,,JEMBATAN BESI,Kec. Tambora,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11320,-5,114,5,1
PLT - YUSLI MASHUDI,SPS NEGERI BALE BERMAIN PAYUNG CERIA,C,Kurikulum 2013,-,SPS NEGERI BALE BERMAIN PAYUNG CERIA,5A8C69D820F95C4B8652,70000830,Negeri,SPS,Pemerintah Daerah,740 TAHUN 2020,2020-07-17,1759/AG.2/31.01.02.1002/-071.569/2019,2019-04-14,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,70000830 SPS NEGERI BB PC BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,220,1 Gb,Pulau Payung RT 006 RW 004,Pulau Tidung,Pulau Tidung,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,0,0,6,4
,,,,-,BKB PAUD BAWAL PUTIH,EC5B450D70124674CA22,69795617,Swasta,SPS,Lainnya,1363.1/SPS-91/JU/VIII/2011,2015-08-15,1363.1/SPS-91/JU/VIII/2011,2011-08-15,Tidak ada,nama_bank,cabang,rek_atas_nama,-,-,-,-,,,Jl. Dermaga Raya RT.03/RW.11,Pluit,Pluit,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14450,0,0,3,11
Zaenab Hikmawati,Zaenab Hikmawati,,Kurikulum 2013,-,BKB PAUD BUNGA DAHLIA,D5D89EE295B738C97EC9,69976795,Swasta,SPS,Lainnya,03 Tahun 2018,2018-01-30,4/A.6/31.72.04.1001/-1.851.192/2018,2018-04-11,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69976795 BKB PAUD BUNGA DAHLIA BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,1298,Tidak Ada,Jl. Baru Gg. II No.23 Rt.004 Rw.001,Cilincing,Cilincing,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14120,0,0,4,1
Riati Hia,Ave Mariana,A,Kurikulum 2013,-,TK Garuda,4860C6D645A36AA50867,69832198,Swasta,TK,Yayasan,4/D-4/SK/JB/78,1975-11-14,005/1.2/31.73.04/-1.851.192/2015,2015-10-01,Tidak ada,BPD DKI,KL Dinas Pendidikan,69832198 TK Garuda BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN & Diesel,33000,50 Mb,Duri Utara I No.1,,Duri Utara,Kec. Tambora,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11270,-6,106,3,2
,,,,-,BKB PAUD CERIA 016,F7214C750DB4DF36DF5F,69857330,Swasta,SPS,Lainnya,,,790/PNFI/SPS-66/JU/V/2011,,Tidak ada,nama_bank,cabang,rek_atas_nama,-,-,-,-,,,Jl. Pepaya Raya Rt.003 Rw.016,pepaya raya,SEMPER BARAT,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14130,0,0,3,16
PLT - Siti Julaeha,ROSMIATI,C,Kurikulum 2013,-,SPS NEGERI BALE BERMAIN PERMATA BUNDA,362050FAA89EC7FE1E98,69768544,Negeri,SPS,Yayasan,740 TAHUN 2020,2020-07-17,1036/SPS-08/KAB/X/10,2010-07-12,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768544 SPS NEGRI BL BRMN PRMT BND BOPP,Bersedia Menerima,-,Belum Bersertifikat,-,216,1 Mb,PULAU LANCANG,Pulau Lancang,Pulau Pari,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,-5,114,1,1
Sry Widiarti,Dhita Iriyanti,,Kurikulum 2013,Pagi,BKB PAUD BAWAL TERPADU,4EDE141E803D7E23B403,69857235,Swasta,SPS,Lainnya,001/1.2.0/31.72.01.1002/-1.851.1925/2016,2018-06-08,001/1.2.0/31.72.01.1002/-1.851.1925/2016,2018-06-08,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857235 BKB PAUD BAWAL TERPADU BOPP,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,Tidak Ada,JL. KAMAL BUNTU KAMAL MUARA RT 012 RW 001,KAMAL MUARA,Kamal Muara,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14470,-6,106,7,1
Nova Yunitasari,nova yunitasari,C,Kurikulum 2013,-,BKB PAUD CUMI-CUMI,58CB2C85B0F3C749752E,69980120,Swasta,SPS,Lainnya,48,2017-12-18,004/A.6/31.72.04.1004/-1.851.192/2018,2018-04-02,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69980120 BKB PAUD CUMI CUMI BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,450,300 Mb,Jl. Kalibaru Barat IV  Rt.008 Rw.012,kalibaru barat 4,Kali Baru,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14110,0,0,8,12
Neng Eli Lidyawati,operator,,Kurikulum 2013,-,TK HARAPAN ABADI,259C63C1066639E300D9,20110968,Swasta,TK,Yayasan,,,-,,Tidak ada,BPD DKI,KL Dinas Pendidikan,20110968 TK HARAPAN ABADI BOPP,Tidak Bersedia Menrima,-,9001:2000,PLN,1199,Tidak Ada,JL. BANDENGAN UTARA I  NO,LIBERIA,PEKOJAN,Kec. Tambora,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11240,0,0,4,12
PLT - MAHMUDAH,HUSNAYA,C,Kurikulum 2013,Sehari penuh (5 h/m),SPS NEGERI BALE BERMAIN TUNAS BAHARI,032DAD5C7D5D0E9A1B6E,69768543,Negeri,SPS,Pemerintah Daerah,740 TAHUN 2020,2020-07-17,1038/SPS-08/KAB/IX/2010,2010-07-19,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768543 SPS NEGERI BL BRMN TNS BHR BOPP,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,900,Tidak Ada,JL.PANTAI SELATAN RT.003/02,PULAU TIDUNG,Pulau Tidung,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,-5,114,3,2
NANI SURYANI,NANI SURYANI,,Kurikulum 2013,-,BKB PAUD BOUGENVILLE 013,10DE61C2D39ACC429560,69857244,Swasta,SPS,Lainnya,006/1.14.1/31.72.01/1.851.192/2016,2016-02-19,006/1.14.1/31.72.01/1.851.192/2016,2016-02-19,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857244 BKB PAUD BOUGENVILLE 013 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,900,Tidak Ada,Jl. Rawa Bebek RT.10/RW.13,Penjaringan,Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14440,-6,106,10,13
SYAKIROH,Syakiroh,,Kurikulum 2013,-,BKB PAUD DAHLIA II,EF8CABC5164F1A14B677,69959523,Swasta,SPS,Lainnya,16,2016-10-03,1/1.17/31.72.04.1006/-1.851.192/2017,2017-02-14,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69959523 BKB PAUD DAHLIA II BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,450,1 Gb,Kp. Malaka Bulak Rt.004 Rw.013 No.07,Malaka Bulak,Rorotan,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14140,0,0,4,13
Halilah,HARNI MAYANAH,C,Kurikulum 2013,Pagi,SPS ANUGERAH PULAU TIDUNG,0BBE7BEDB0E81E9F0A3B,69768539,Swasta,SPS,Lainnya,,,819.5/SPS-08/KAB/IX/2011,,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768539 SPS ANUGERAH PULAU TIDUNG BOPP,Bersedia Menerima,Pagi,Proses Sertifikasi,PLN,220,Tidak Ada,LAPANGAN HIJAU,PULAU TIDUNG,PULAU TIDUNG,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,0,0,2,4
Alifia Fakhrun Nissa,TK ISLAM YKPI,A,Kurikulum 2013,-,TK Islam YKPI,D5E30553D05438C08BE3,69856827,Swasta,TK,Yayasan,2,2015-11-01,Kep.1282/I01.A1/I/89,1989-08-21,Tidak ada,BPD DKI,KL Dinas Pendidikan,69856827 TK Islam YKPI BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,900,30 Mb,Jl. Angke Jaya No.10,,Angke,Kec. Tambora,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11330,-6,106,7,3
MAMAH HALIMAH,ISMI ZULFAH,,Kurikulum 2013,-,BKB PAUD DAHLIA 05,BE4121C9BF85A725D89B,69857237,Swasta,SPS,Lainnya,,,1521/PNFI/SPS,,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857237 BKB PAUD DAHLIA 05 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,900,Tidak Ada,VIKA MAS I RT 015 RW 05 KAPUK MUARA,,Kapuk Muara,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14460,-6,106,15,5
PLT - Nurul Afifah,Nurwati,C,Kurikulum 2013,-,BKB PAUD DARUL FALAH RW 05,3F90AF4E48E63A33BD07,69976596,Swasta,SPS,Lainnya,04 Tahun 2017,2017-03-10,2/A.6/31.72.04.1006/-1.851.192/2018,2018-02-28,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69976596 BKB PAUD DF RW 05 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,900,Tidak Ada,Jl. Malaka II Rt.001 Rw. 005,malaka II,Rorotan,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14140,0,0,1,5
"SITI ASTRIPAH, S.Pd",ISNAENI,,Kurikulum 2013,-,BKB PAUD KENANGA 17,CB0E27808404A02DFDED,69880117,Swasta,SPS,Lainnya,022/1.4.1/31.72.01/-1.851.192/2015,2015-12-01,022/1.4.1/31.72.01/-1.851.192/2015,2015-12-01,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69880117 BKB PAUD KENANGA 17 BOPP,Bersedia Menerima,-,Belum Bersertifikat,-,2200,Tidak Ada,Jl. Muara Baru Blok B RT.23/RW.17 (Rusunawa Muara Baru),PENJARINGAN,Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14440,-6,106,23,17
NISYE FLORITA IRENE TELUSSA,Albert,A,Kurikulum 2013,Sehari penuh (5 h/m),TK JOY,93CC332E66A3E83773A0,20111003,Swasta,TK,Yayasan,,,-,,Tidak ada,BPD DKI,KL Dinas Pendidikan,20111003 TK JOY BOPP,Tidak Bersedia Menrima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,4394,50 Mb,JL. JEMB. HITAM NO. 29,,PEKOJAN,Kec. Tambora,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11240,0,0,2,7
"Abdul Syukur, S.Pd",Abdul Syukur Saiman,B,Kurikulum 2013,-,SPS POS PAUD ASSYUKRU PULAU PARI,E4AFCFA8DD34CF794358,69768545,Swasta,SPS,Yayasan,24/27.I.O/31.01.02.1003/-1.851.192/2018,2018-02-02,005/C/PAUD/VII/2018,2018-07-27,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768545 SPS POS PAUD ASSYKR P PARI BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,1200,50 Mb,PULAU LANCANG RT 02/02,Pulau Lancang,Pulau Pari,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,-5,106,2,2
,,,,-,BKB PAUD DELIMA,15041E0A4897DEF5BCC6,69860403,Swasta,SPS,Lainnya,,,4200/PNFI-SPS/JU/X/2013,,Tidak ada,nama_bank,cabang,rek_atas_nama,-,-,-,-,,,Jl. Malaka HB Rt.005 Rw.006,,ROROTAN,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,,0,0,,
