kepsek,operator,akreditasi,kurikulum,waktu,nama_sekolah,sekolah_id,npsn,status,bentuk_pendidikan,status_kepemilikan,sk_pendirian_sekolah,tanggal_sk_pendirian,sk_izin_operasional,tanggal_sk_izin_operasional,kebutuhan_khusus,nama_bank,kcp,nama_di_rek,status_bos,waku_penyelenggaraan,sertifikasi_iso,sumber_listrik,daya_listri,akses_internet,alamat,dusun,desa_kelurahan,kecamatan,kabupaten,provinsi,kode_pos,lintang,bujur,rt,rw
PLT - FIRDA ALFIANITA AKMALA,LAILATUL MUFIDAH,,Kurikulum 2013,Pagi,PG. MUSLIMAT BUANA WEDORO,89DA579820D5484BB472,69816641,Swasta,KB,Yayasan,421.9/3869/404.3.1/2011,2011-11-07,188.4/4130/438.5.1/2022,2022-10-15,Tidak ada,BPD JAWA TIMUR,SIDOARJO,69816641 PGM BUANA WEDORO,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,5500,30 Mb,KOLONEL SUGIONO 59,WEDORO MADRASAH,Wedoro,Kec. Waru,Kab. Sidoarjo,Prov. Jawa Timur,61256,-5,114,2,3
Futikhatul Magfiroh,Nisaulkarimah,,Kurikulum 2013,-,PGM DARUL ULUM GEDONGAN,EFBE426388BA58A9871A,69816644,Swasta,KB,Yayasan,421-9/1972/404.3.1/2007,2007-09-21,188.4/4137/438.5.1/2022,2022-10-15,Tidak ada,BPD JAWA TIMUR,SIDOARJO,69816644 PGM DARUL ULUM,Bersedia Menerima,-,Belum Bersertifikat,PLN,1300,50 Mb,JL. RAYA WADUNG ASRI NO. 100,Gedongan,Wadungasri,Kec. Waru,Kab. Sidoarjo,Prov. Jawa Timur,61256,-7,112,2,1
Abdul Manan,Rukhil Amami,B,Kurikulum 2013,Pagi,UPT SD NEGERI 302 GRESIK,269C5CC30841DC00A69C,20500132,Negeri,SD,Pemerintah Daerah,400/4059/437.53/ 2019,1961-01-01,400/4059/437.53/ 2019,2019-10-01,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG SIDAYU...,UPTSDNEGERI302GRESIK...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1300,20 Mb,Jln. Putri Kabunan 148,,Ngemboh,Kec. Ujung Pangkah,Kab. Gresik,Prov. Jawa Timur,61154,-6,112,3,2
Nono Sugiono,MOHAMMAD ULUM KAMALUDIN,B,Kurikulum 2013,Pagi,SDN SELOLIMAN,394BF2B4F60D5B3C2401,20502577,Negeri,SD,Pemerintah Daerah,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG MOJOKERTO...,SDNSELOLIMANTRAWAS...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1200,10 Mb,Dusun Seloliman,Biting,Seloliman,Kec. Trawas,Kab. Mojokerto,Prov. Jawa Timur,61375,-7,112,2,1
Kiki Febrianti,MUHAMMAD SYAMSUL HUDA,A,Kurikulum 2013,-,PLAY GROUP RAUDLATUL JANNAH,954C99198BC7ABCFC09D,69816724,Swasta,KB,Yayasan,421-9/2181/404.4.8/1998,1998-06-20,421.1/2777/438.5.1/2021,2021-12-09,Tidak ada,BPD JAWA TIMUR,SIDOARJO,69816724 PG RAUDLATUL JANNAH,Bersedia Menerima,-,9001:2008,PLN & Diesel,15000,50 Mb,JL. JATISARI PERMAI X/2 PEPELEGI,Legi,Pepelegi,Kec. Waru,Kab. Sidoarjo,Prov. Jawa Timur,61256,-7,112,1,8
Moh. Ghozali,Fithri Ahmad,B,Kurikulum 2013,Pagi,UPT SD NEGERI 303 GRESIK,C6BA0A906A08ABADC6F0,20500239,Negeri,SD,Pemerintah Daerah,400/4059/437.53/2019,2019-10-10,400/4059/437.53/2019,2019-10-10,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG SIDAYU...,UPTSDNEGERI303GRESIK...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,5000,10 Mb,JL. RAYA NO 17 PANGKAHKULON,TEGAL SARI,Pangkah Kulon,Kec. Ujung Pangkah,Kab. Gresik,Prov. Jawa Timur,61154,-6,112,0,0
Siti Khamdiyah,RULY WIDYA SARI,B,Kurikulum 2013,Pagi,SDN SELOTAPAK,6D7E408B59BAEF5062CB,20502497,Negeri,SD,Pemerintah Pusat,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG MOJOKERTO...,SDNSELOTAPAKTRAWAS...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,3500,30 Mb,Desa Selotapak,Jaten,Selotapak,Kec. Trawas,Kab. Mojokerto,Prov. Jawa Timur,61375,-7,112,1,1
Lia Maf'ula,MUHAMMAD SYAMSUL HUDA,,Kurikulum 2013,-,Taman Pengasuhan Anak Raudlatul Jannah,D72F1EA73239BBAD47AE,69816758,Swasta,TPA,Yayasan,421.9/740/404.3.1/2013,2013-03-06,188.4/3096/438.5.1/2022,2022-08-04,Tidak ada,BPD JAWA TIMUR,SIDOARJO,69816758 TPA RAUDLATUL JANNAH,Bersedia Menerima,-,9001:2008,PLN & Diesel,1900,30 Mb,Jl. Jatisari Dalam II / 33 RT 03 RW 04,Legi,Pepelegi,Kec. Waru,Kab. Sidoarjo,Prov. Jawa Timur,61256,-7,112,3,4
Laili,MAHBUB AMIN,A,Kurikulum 2013,Pagi,UPT SD NEGERI 304 GRESIK,8B3FB23C94311BA9EECD,20500238,Negeri,SD,Pemerintah Daerah,400/4059/437.53/ 2019,1920-01-01,400/4059/437.53/ 2019,2019-10-01,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG SIDAYU...,UPTSDNEGERI304GRESIK...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,2200,50 Mb,Jln. Pendidikan No. 6,PANGKAH WETAN,Pangkah Wetan,Kec. Ujung Pangkah,Kab. Gresik,Prov. Jawa Timur,61154,-6,112,3,1
Lilik Kusmiati,Nur Amala,B,Kurikulum 2013,Pagi,SDN SUGENG,AEFDD0C55E09DDF0B454,20502454,Negeri,SD,Pemerintah Daerah,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG MOJOKERTO...,SDNSUGENGTRAWAS...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1300,5 Mb,Jl. Raya Sugeng,Sugeng,Sugeng,Kec. Trawas,Kab. Mojokerto,Prov. Jawa Timur,61375,-7,112,1,1
PLT - LILIK QADARSIH,LILIK QADARSIH,,Kurikulum 2013,Sehari penuh (5 h/m),TPA (Tempat Penitipan Anak) YUSTISIA,BB660301EDED660DC2F4,69816753,Swasta,TPA,Yayasan,421.9/2846/404.3.1/2009,2009-08-06,421.1/2151/438.5.1/2021,2021-10-18,Tidak ada,BANK JATIM,WARU,TPA YUSTISIA,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,1300,500 Mb,GUNUNG AGUNG BLOK Q NO 1-3 PERUM KEPUH PERMAI WARU-SIDOARJO,,Kepuh Kiriman,Kec. Waru,Kab. Sidoarjo,Prov. Jawa Timur,,0,0,,
Sugeng Santoso,Ahmad Fajri Romadhoni,B,Kurikulum 2013,Pagi,UPT SD NEGERI 305 GRESIK,E8AC8B2770D066158EE2,20500237,Negeri,SD,Pemerintah Daerah,400/4059/437.53/ 2019,1910-01-01,400/4059/437.53/ 2019,2019-10-01,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG SIDAYU...,UPTSDNEGERI305GRESIK...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,0,30 Mb,Jl. Tajungrejo No 15,Tajungrejo,Pangkah Wetan,Kec. Ujung Pangkah,Kab. Gresik,Prov. Jawa Timur,61154,-6,112,2,12
Suwarni,Ika Deviana,B,Kurikulum 2013,Pagi,SDN SUKOSARI,C20B5235C65FEE947FD3,20502436,Negeri,SD,Pemerintah Daerah,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG MOJOKERTO...,SDNSUKOSARITRAWAS...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,300 Mb,Jl. Raya Sukosari no. 130,Sukosari,Sukosari,Kec. Trawas,Kab. Mojokerto,Prov. Jawa Timur,61375,-7,112,1,1
Sunarti,Desyy rosmicha,Belum Terakreditasi,Kurikulum 2013,Pagi,TPA INTAN,D1E3225D83FCAE2A9AA7,69816908,Swasta,TPA,Yayasan,421.9/661/404.3.1/2010,2010-03-09,421.9/2063/404.3.1/2016,2016-05-09,Tidak ada,BPD JAWA TIMUR,SIDOARJO,69816908 TPA INTAN,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1500,500 Mb,CITRA ALAMANDA N0 3,,Tropodo,Kec. Waru,Kab. Sidoarjo,Prov. Jawa Timur,61256,-7,112,10,10
Bambang Ariyanto,ERIK KURNIAWAN,A,Kurikulum 2013,Pagi,UPT SD NEGERI 306 GRESIK,031BED5450179C6A29A5,20500212,Negeri,SD,Pemerintah Daerah,400/4059/437.53/ 2019,1916-01-01,400/4059/437.53/ 2019,2019-10-01,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG GRESIK...,UPTSDNEGERI306GRESIK...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,2200,20 Mb,Jl. Ki Hajar Dewantara No. 01,,Sekapuk,Kec. Ujung Pangkah,Kab. Gresik,Prov. Jawa Timur,61154,-6,112,1,5
Supriyati,YANI KURNIAWATI,A,Kurikulum 2013,Pagi,SDN TAMIAJENG,BA26FAE5796FD0F13340,20502484,Negeri,SD,Pemerintah Daerah,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG MOJOKERTO...,SDNTAMIAJENGTRAWAS...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1300,30 Mb,Jl Raya Tamiajeng No. 59,Tamiajeng,Tamiajeng,Kec. Trawas,Kab. Mojokerto,Prov. Jawa Timur,61375,-7,112,12,6
